frame,particle,x,y,z,mass
0,1,-0.134876,0.578515,0.00434471,1.0
0,2,0.648724,1.87114,-0.0588635,1.0
0,3,-1.04483,1.65589,0.0740131,1.0
0,4,1.80698,0.293553,-0.0959483,1.0
0,5,-1.43932,-1.18594,0.00400958,1.0
0,6,-0.281048,-2.07457,0.065385,1.0
0,7,1.31198,0.349287,0.0963872,1.0
0,8,0.5504,-0.715332,0.0788458,1.0
0,9,1.02739,-2.3744,-0.0294621,1.0
0,10,-1.89314,-0.681976,0.0117055,1.0
0,11,1.43699,-1.32751,0.0909437,1.0
0,12,-0.212505,-0.852221,0.0297887,1.0
0,13,-1.62858,0.54287,0.0696291,1.0
0,14,-0.492216,-2.21377,0.0944259,1.0
0,15,-0.244314,0.382785,0.0978951,1.0
1,1,-0.0862891,0.610682,-0.0586524,1.0
1,2,0.644479,1.83263,-0.032513,1.0
1,3,-1.03337,1.69191,-0.0484107,1.0
1,4,1.84971,0.320751,-0.0448777,1.0
1,5,-1.46835,-1.18812,-0.0472311,1.0
1,6,-0.313823,-2.14038,0.0573806,1.0
1,7,1.27921,0.368296,-0.0946742,1.0
1,8,0.529223,-0.698245,-0.0940756,1.0
1,9,0.978865,-2.41338,-0.0545738,1.0
1,10,-1.9345,-0.692515,0.0879438,1.0
1,11,1.43021,-1.37938,-0.0830301,1.0
1,12,-0.225924,-0.84546,-0.0150671,1.0
1,13,-1.62774,0.58009,-0.0324675,1.0
1,14,-0.488073,-2.17244,-0.0404664,1.0
1,15,-0.268383,0.358726,0.0549282,1.0
2,1,-0.0430538,0.643179,0.0773069,1.0
2,2,0.639701,1.79121,-0.00509815,1.0
2,3,-1.01536,1.73013,0.0288311,1.0
2,4,1.88609,0.348504,0.00590031,1.0
2,5,-1.49894,-1.18497,-0.101574,1.0
2,6,-0.350432,-2.208,0.0521692,1.0
2,7,1.24945,0.391992,-0.0865777,1.0
2,8,0.501384,-0.686676,-0.0679321,1.0
2,9,0.928092,-2.46274,0.12023,1.0
2,10,-1.96694,-0.70694,-0.0362537,1.0
2,11,1.42851,-1.42205,-0.0549637,1.0
2,12,-0.235448,-0.83604,-0.0616898,1.0
2,13,-1.62809,0.614254,0.0653082,1.0
2,14,-0.478513,-2.133,-0.17222,1.0
2,15,-0.292948,0.35033,0.0134834,1.0
3,1,-0.00952572,0.671807,0.0124938,1.0
3,2,0.634587,1.75211,0.0209921,1.0
3,3,-0.988157,1.77219,-0.0961311,1.0
3,4,1.91136,0.374209,0.0578103,1.0
3,5,-1.53238,-1.17598,0.0412875,1.0
3,6,-0.393169,-2.26991,0.0480905,1.0
3,7,1.22436,0.419254,-0.076984,1.0
3,8,0.467743,-0.683604,-0.0443278,1.0
3,9,0.877793,-2.51857,0.0953617,1.0
3,10,-1.99259,-0.721772,0.0399156,1.0
3,11,1.43293,-1.45634,-0.0260684,1.0
3,12,-0.238985,-0.823814,0.0858076,1.0
3,13,-1.63211,0.645412,-0.0375285,1.0
3,14,-0.466025,-2.097,0.0981168,1.0
3,15,-0.317203,0.35834,-0.0295678,1.0
4,1,0.0109792,0.693369,-0.0489667,1.0
4,2,0.629815,1.71879,0.0483907,1.0
4,3,-0.95327,1.82052,-0.0211776,1.0
4,4,1.92901,0.398619,-0.0889598,1.0
4,5,-1.56594,-1.16358,-0.0151472,1.0
4,6,-0.440772,-2.32784,0.044527,1.0
4,7,1.20129,0.447073,-0.0703671,1.0
4,8,0.427886,-0.687772,-0.0200215,1.0
4,9,0.830431,-2.58178,0.0692151,1.0
4,10,-2.01371,-0.734973,-0.0812456,1.0
4,11,1.44356,-1.48391,0.000526758,1.0
4,12,-0.235543,-0.810957,0.0319462,1.0
4,13,-1.63894,0.673285,0.0587113,1.0
4,14,-0.452768,-2.06088,-0.029465,1.0
4,15,-0.342599,0.381908,0.127133,1.0
5,1,0.0156547,0.709486,0.0893765,1.0
5,2,0.626327,1.69556,0.074828,1.0
5,3,-0.909575,1.87437,0.0520381,1.0
5,4,1.94284,0.421921,-0.037936,1.0
5,5,-1.59611,-1.15086,-0.0712877,1.0
5,6,-0.492478,-2.38129,0.0397606,1.0
5,7,1.18078,0.47111,-0.0648025,1.0
5,8,0.385926,-0.696803,0.00576256,1.0
5,9,0.786889,-2.65051,0.0427047,1.0
5,10,-2.02889,-0.745799,-0.00130452,1.0
5,11,1.45677,-1.50273,0.0254994,1.0
5,12,-0.224331,-0.795804,-0.0193322,1.0
5,13,-1.64847,0.696863,-0.0438489,1.0
5,14,-0.442643,-2.02761,-0.157162,1.0
5,15,-0.365215,0.41992,0.0866053,1.0
6,1,0.00209734,0.714278,0.0250587,1.0
6,2,0.623085,1.68329,-0.0989182,1.0
6,3,-0.86265,1.92743,-0.074344,1.0
6,4,1.95448,0.444663,0.0118024,1.0
6,5,-1.62443,-1.13304,0.0725107,1.0
6,6,-0.548199,-2.4279,0.0331059,1.0
6,7,1.16675,0.486122,-0.0588895,1.0
6,8,0.338071,-0.709976,0.0321265,1.0
6,9,0.74808,-2.7237,0.017568,1.0
6,10,-2.03627,-0.756806,0.0785642,1.0
6,11,1.47051,-1.51478,0.0509686,1.0
6,12,-0.209033,-0.781942,-0.070159,1.0
6,13,-1.65994,0.720765,0.0548307,1.0
6,14,-0.434956,-1.99901,-0.0819126,1.0
6,15,-0.3845,0.470039,0.0477208,1.0
7,1,-0.0306259,0.709454,-0.0402099,1.0
7,2,0.620233,1.68531,-0.0720629,1.0
7,3,-0.813698,1.98008,-0.00173484,1.0
7,4,1.96397,0.467855,0.0610359,1.0
7,5,-1.65003,-1.11428,0.016644,1.0
7,6,-0.606883,-2.46729,0.0254878,1.0
