frame,particle,x,y,z,mass
0,1,-1.68663,0.811422,-0.00597969,1.0
0,2,-0.817341,-1.18844,-0.0718748,1.0
0,3,-2.19067,1.92106,-0.0378598,1.0
0,4,-0.39304,1.87361,0.00383925,1.0
0,5,0.537142,3.0044,-0.093983,1.0
0,6,-1.9908,-2.44828,0.0120369,1.0
0,7,-0.518877,0.699738,-0.0496899,1.0
0,8,0.708123,1.85921,0.0914485,1.0
0,9,1.84901,1.0678,0.0929266,1.0
0,10,1.00035,-2.10467,0.0653681,1.0
0,11,-0.602899,0.145578,-0.0722352,1.0
0,12,-1.2473,3.52306,-0.00907442,1.0
0,13,1.95164,-1.15102,0.0189166,1.0
0,14,-0.919299,-2.51122,-0.0755417,1.0
0,15,1.52168,-0.575465,-0.0502823,1.0
0,16,0.352846,-0.627778,0.0548375,1.0
0,17,0.46877,1.05791,-0.0935204,1.0
0,18,-2.17291,-0.574694,-0.00370236,1.0
0,19,0.71132,-1.85621,0.00391912,1.0
0,20,0.536201,-0.525464,0.0392377,1.0
1,1,-1.70868,0.779712,0.0243149,1.0
1,2,-0.82897,-1.159,0.0110043,1.0
1,3,-2.19757,1.94309,-0.028965,1.0
1,4,-0.365056,1.85728,0.0706094,1.0
1,5,0.516107,3.02088,-0.0277685,1.0
1,6,-2.01721,-2.4502,-0.00609584,1.0
1,7,-0.589855,0.694779,-0.00545122,1.0
1,8,0.751826,1.83582,0.0794787,1.0
1,9,1.84626,1.0711,0.0099645,1.0
1,12,-1.22242,3.45899,-0.0564587,1.0
1,13,1.90483,-1.14008,-0.00571544,1.0
1,14,-0.888294,-2.50318,0.0335852,1.0
1,16,0.268452,-0.660838,0.103513,1.0
1,18,-2.22765,-0.58122,-0.0148362,1.0
1,19,0.670737,-1.82706,0.00795875,1.0
1,36,1.34933,0.150572,-0.000791323,1.0
2,1,-1.731,0.743414,0.0534153,1.0
2,2,-0.849467,-1.12482,-0.107568,1.0
2,3,-2.20004,1.9725,-0.0191313,1.0
